price,product_description,product_id,product_name
645,Easy lot set watch although sign easy.,0,productCalvin Morris
607,Age during chair across win eye late.,1,productNicholas Thompson
415,Black sometimes news church bed.,2,productJorge Ortega
345,Near south however important.,3,productLeslie Wilkerson
783,Method appear month experience.,4,productCody Thompson
570,Food effect officer.,5,productJudith Grimes
474,Though main start act enough.,6,productKara Duncan
140,If table after early opportunity.,7,productNicholas Snyder
767,Hotel ask second white price.,8,productMary Rivas
820,During daughter fill chair consumer.,9,productMary Mcgee
147,The wear camera make cause.,10,productTamara Fuentes
570,You task happy.,11,productKeith Gomez
870,Will professor history.,12,productSergio Lewis
439,Per image tend clear.,13,productJonathan Jones
654,Raise begin recent sport may board.,14,productFrederick Donovan
590,Head yeah science need cost home.,15,productJeffrey Ingram
769,Score allow product after nature east.,16,productJonathan Perkins
237,Live management quality worker with.,17,productMathew Lawrence MD
924,His produce now occur use.,18,productShane Gray
485,Same peace kind success those.,19,productMorgan Melton
273,My source least skin word.,20,productAshley Lee
413,Charge poor place above rest.,21,productBrittany Spears
746,Base money three sit which.,22,productElizabeth Ward
703,Cut floor road fund miss.,23,productKelly Williams
203,Magazine break section.,24,productBruce Hunt
328,Huge successful campaign sense.,25,productSarah Gilmore
142,Throw pressure bill father.,26,productBrian Ware
768,Enter chance assume move rise practice.,27,productSamantha Sanchez
507,Fear water understand town several.,28,productGregory Richard
609,Expect work ability skill not race.,29,productPatrick Vargas
654,Lot beyond impact short process month.,30,productNicholas Kelley
365,Culture first mouth someone not begin.,31,productAbigail Garrett
258,Simply goal include piece author.,32,productBrian Turner
382,Economic amount page six.,33,productGrace Baird
385,Possible record involve they dream lay.,34,productJessica Mack
407,On race exist computer.,35,productLarry Martinez
170,Responsibility power knowledge walk.,36,productMark Kramer
296,Story church full message.,37,productAudrey Ballard
619,Someone different product real bit.,38,productJason Thomas
813,College bad than notice now everybody.,39,productRussell Brown
435,High manager room understand.,40,productCarl Dominguez
622,Congress allow score policy.,41,productMorgan Shaw
260,Wear alone property all.,42,productKayla Velasquez
121,Plant under economic interesting trial.,43,productLinda Wright
142,General police their drop.,44,productTristan Black
831,Sport break ready let sister.,45,productSusan Ryan
180,Example save crime technology.,46,productJeremy Price
845,Leg police trade government lay first.,47,productKathryn Wilson
261,Bad whose top. Detail enjoy east us.,48,productJoseph Holmes
702,Least finish in to.,49,productChristopher Garcia
