product_id,purchase_id,quantity,user_id
3,4,6,9
4,6,3,12
6,3,4,3
9,4,4,12
4,7,7,6
8,1,4,5
10,6,3,3
8,7,5,11
7,7,7,10
6,4,3,18
6,6,7,11
6,3,3,17
8,3,7,12
10,2,3,5
2,5,4,11
5,5,3,14
2,8,4,2
2,7,5,11
2,1,5,1
7,10,5,3
1,2,7,12
4,8,6,6
9,9,5,3
10,5,6,9
10,5,5,9
6,2,7,6
1,6,3,3
2,5,5,11
4,2,4,2
6,9,3,17
1,3,6,5
6,2,7,1
3,4,6,9
8,6,5,10
6,6,4,8
1,5,5,16
2,1,4,12
7,1,7,16
8,10,3,6
9,4,6,11
8,4,5,4
9,2,4,19
5,10,7,11
8,2,3,19
1,2,3,10
2,4,3,18
10,7,4,11
3,1,6,10
10,5,5,18
10,4,5,8
2,5,4,6
3,8,5,14
8,3,7,12
10,10,4,19
4,7,5,8
6,9,7,18
2,10,7,4
10,6,4,11
9,4,6,1
10,1,5,17
9,10,7,3
3,10,5,2
5,4,3,5
5,4,6,16
10,9,7,18
3,5,3,13
7,6,4,17
5,1,4,6
7,5,5,10
2,5,4,3
5,9,7,15
9,9,5,14
2,1,6,10
4,4,7,19
8,10,6,3
4,4,6,14
6,7,5,5
10,6,6,1
7,10,4,4
5,7,3,11
10,3,7,18
10,5,6,19
3,4,6,3
8,5,6,16
5,10,5,15
8,8,3,6
1,1,6,3
1,9,5,20
2,9,7,20
2,3,6,4
9,9,5,5
8,10,7,9
10,7,5,11
3,4,7,4
2,1,3,15
7,2,4,2
9,3,3,10
9,4,5,17
6,9,7,11
8,6,4,9
2,7,6,18
1,9,4,2
2,10,6,19
5,9,5,16
5,2,4,20
2,1,5,15
3,3,4,19
6,6,5,10
4,2,7,10
1,5,7,13
6,3,6,1
3,1,7,13
4,2,7,6
9,2,7,16
10,10,6,3
1,5,5,20
9,7,5,4
6,6,5,10
6,10,4,7
4,9,5,7
1,4,7,1
9,1,3,11
3,8,4,12
10,10,6,5
2,3,6,3
8,8,5,17
7,5,4,18
9,3,5,14
2,10,5,18
1,3,7,7
9,1,3,19
5,10,6,1
5,6,3,7
5,7,7,18
9,4,7,5
4,2,4,11
8,4,4,9
6,7,6,15
3,4,6,2
8,9,4,4
9,3,7,19
9,4,5,6
5,5,4,18
3,10,4,20
10,5,5,18
3,8,3,6
8,6,6,15
9,7,5,19
7,7,3,13
6,9,6,20
10,6,5,3
2,3,4,11
1,9,5,13
4,9,3,17
7,2,5,17
8,3,4,13
2,2,4,3
1,5,5,19
6,5,7,19
2,9,4,1
5,10,6,15
4,9,7,5
5,3,6,11
4,7,6,17
4,3,4,1
3,1,5,10
9,6,3,15
2,7,6,11
9,8,3,12
4,5,5,8
7,7,7,8
7,1,7,15
2,2,3,17
2,2,5,15
8,5,6,9
7,7,7,5
7,7,4,4
1,2,4,17
4,5,7,15
8,6,5,16
8,5,7,12
8,9,7,8
9,1,4,12
7,6,5,1
2,1,6,10
1,7,3,5
6,5,5,1
2,1,7,5
5,7,7,20
9,3,4,15
3,7,4,18
3,2,6,2
1,5,3,4
7,10,4,9
8,7,3,4
10,1,3,19
6,6,3,20
8,3,6,13
7,3,3,1
1,10,3,20
6,10,3,17
3,4,3,9
10,9,7,8
3,4,4,18
3,6,3,20
10,2,3,20
2,4,6,7
2,5,5,3
4,10,4,13
5,7,4,5
8,3,5,15
8,9,5,12
1,1,6,1
6,1,4,10
5,10,4,9
1,10,3,4
5,6,3,15
2,10,4,3
6,10,4,2
10,4,3,12
4,8,3,17
8,10,7,11
9,4,6,6
9,10,7,7
3,9,4,6
5,4,4,12
4,3,4,8
7,2,3,14
9,8,6,14
3,2,6,4
3,5,7,4
5,10,7,8
1,9,6,19
2,9,5,19
5,3,5,4
8,10,6,10
7,6,7,14
2,10,7,18
4,2,4,8
2,8,4,8
2,5,3,15
5,10,4,9
1,4,7,3
9,2,5,9
4,8,6,13
8,3,6,17
1,1,7,16
2,8,5,17
8,5,7,1
6,8,7,5
1,4,7,9
8,10,5,12
2,1,5,8
7,1,7,16
4,7,6,10
6,10,3,1
5,8,3,4
7,4,3,7
9,5,7,10
2,8,6,7
2,4,5,2
7,3,6,13
1,2,3,1
1,1,4,20
5,8,3,9
3,4,3,6
6,9,3,8
4,2,7,13
8,10,5,10
5,2,6,3
6,5,4,19
7,6,4,7
2,7,3,5
3,1,7,6
5,9,5,14
5,4,5,10
9,9,7,18
1,7,5,3
10,8,7,4
5,6,3,15
6,7,5,2
2,10,3,11
2,7,7,12
7,8,4,8
8,10,4,10
8,5,5,5
7,5,5,6
1,9,3,17
1,4,7,3
9,3,6,8
9,10,4,10
10,4,4,13
4,8,4,14
5,8,7,4
5,3,3,16
8,10,4,10
1,2,3,10
2,10,6,4
2,1,6,15
5,4,4,16
