user_id,1,2,3,4,5,6,7,8,9,10
1,5.0,10.0,,,7.0,11.0,5.0,8.0,,13.0
2,,10.0,3.0,9.0,10.0,13.0,11.0,11.0,,7.0
3,12.0,,4.0,,4.0,11.0,7.0,7.0,6.0,
4,3.0,19.0,7.0,5.0,10.0,13.0,13.0,14.0,15.0,4.0
5,21.0,9.0,10.0,22.0,5.0,3.0,6.0,17.0,7.0,13.0
6,9.0,4.0,3.0,12.0,13.0,,,,26.0,
7,5.0,6.0,11.0,8.0,7.0,3.0,5.0,7.0,6.0,
8,5.0,10.0,5.0,3.0,3.0,13.0,,,11.0,
9,7.0,6.0,3.0,,13.0,15.0,,5.0,5.0,
10,9.0,5.0,10.0,14.0,13.0,5.0,11.0,4.0,,14.0
11,3.0,,6.0,3.0,11.0,,7.0,,22.0,
12,7.0,7.0,17.0,20.0,11.0,6.0,7.0,17.0,7.0,6.0
13,19.0,3.0,12.0,4.0,3.0,17.0,6.0,4.0,,
14,7.0,,11.0,19.0,7.0,,7.0,7.0,3.0,15.0
15,4.0,7.0,6.0,12.0,10.0,6.0,6.0,11.0,11.0,7.0
16,7.0,11.0,,13.0,,11.0,5.0,,4.0,8.0
17,,26.0,8.0,11.0,,7.0,,3.0,8.0,5.0
18,12.0,7.0,6.0,16.0,4.0,5.0,12.0,7.0,7.0,12.0
19,7.0,,4.0,11.0,6.0,3.0,15.0,5.0,9.0,7.0
20,7.0,,4.0,32.0,11.0,10.0,6.0,,7.0,
